Word based distribution,Path length,mailto: present,Dash,Is title tag empty,Digit to alphabet ratio,ASN updation date,Tilde,Is English word,Is www present,Domain Age in Days,Is Pronounceable,Levenshtein Distance,Files in URL,Question Mark,Total links,Body tags in source,.js used,Label
1,12,0,0,0,0.206896551724138,1,0,1,0,3561,0,0,0,0,0,0,0,0
1,24,0,0,0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0
1,6,1,0,0,0.0,0,0,1,1,6269,0,0,0,0,274,1,0,0
1,8,0,0,0,0.0384615384615384,0,0,1,1,4518,0,0,0,0,0,0,0,0
1,20,0,0,0,0.0,0,0,1,1,1567,0,0,0,0,0,0,0,0
1,10,0,0,0,0.0,0,0,1,1,6565,0,0,0,0,52,1,0,0
1,20,0,0,0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0
1,19,0,0,0,0.0,1,0,1,1,2476,0,0,0,0,0,0,0,0
1,53,0,1,0,0.033898305,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,1,1,0,0.0,1,0,0,1,5815,0,0,0,0,31,1,0,0
1,117,0,0,0,0.808823529,1,1,1,1,3219,0,0,0,0,0,0,0,0
1,13,0,1,0,0.024096386,0,0,1,1,2678,0,0,0,2,0,0,0,0
1,1,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,5,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,21,0,0,0,0.0,0,0,1,0,9437,0,0,0,0,0,0,0,0
1,7,0,0,0,0.0,1,0,1,0,2793,1,0,0,0,0,0,0,0
1,13,1,0,0,0.153846154,1,0,1,0,3588,0,0,0,0,89,1,0,0
1,8,0,0,0,0.074074074,0,0,1,0,0,0,0,0,0,0,0,0,0
1,27,0,0,0,0.0,1,0,1,1,3588,0,0,0,0,84,1,0,0
1,26,0,1,0,0.280898876,1,0,1,0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0
1,33,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0,0,0,0.0,0,1,1,1,7232,0,0,0,0,3,0,0,0
0,37,0,1,0,0.0,1,0,1,1,3806,0,0,0,0,0,0,0,0
1,17,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,4,0,1,0,0.029850746,1,0,1,0,0,0,0,0,2,0,0,0,0
0,25,0,0,0,0.353658537,0,0,1,0,0,0,0,0,1,0,0,0,0
