Levenshtein Distance,Body tags in source,Number of parameter,Digit to alphabet ratio,Entropy,Equals,IP Address,Host name length,ASN Postal Code,Percentage Character,Path length,Special Characters,Escape() function,Total links,Word based distribution,English Letters,Is www present,Question Mark,Numeric Character,Delimiters,At Character,Frame tag present,Underscore,Domain to URL Ratio,Is domain suspicious,Label
9,1,0,0.0,3.73366068968819,0,1,18,1,0,0,5,1,211,1,20,0,0,0,0,0,0,0,0.72,276,0
18,0,0,0.0,3.55851861304891,0,0,14,0,0,0,5,0,0,1,16,0,0,0,0,0,0,0,0.666666666666667,0,0
20,0,0,0.0,4.14162160875525,0,1,30,1,0,0,6,0,0,1,31,0,0,0,0,0,0,0,0.810810810810811,0,0
9,1,0,0.0,3.79508858639773,0,1,16,1,0,0,5,0,100,1,18,0,0,0,0,0,0,0,0.695652173913044,9,0
9,1,0,0.0,3.82525173728865,0,1,19,1,0,0,5,0,0,1,21,0,0,0,0,0,1,0,0.730769230769231,2,0
9,1,0,0.0,3.94920497419407,0,1,30,1,0,0,5,0,43,1,32,0,0,0,0,0,1,0,0.810810810810811,15,0
0,0,0,0.0,3.40398944648526,0,1,14,1,0,0,5,0,0,1,16,0,0,0,0,0,0,0,0.666666666666667,0,0
0,1,0,0.0,4.13433611319445,0,1,20,1,0,0,5,0,276,1,22,0,0,0,0,0,1,0,0.740740740740741,66,0
0,0,0,0.0,3.55526904464812,0,1,19,1,0,0,5,0,0,1,21,0,0,0,0,0,1,0,0.730769230769231,0,0
0,1,0,0.0,4.26209380430511,0,1,45,1,0,0,8,0,286,1,44,0,0,0,0,0,1,0,0.865384615384615,37,0
0,1,0,0.0,3.62117554291947,0,1,16,1,0,0,5,0,130,1,18,0,0,0,0,0,1,0,0.695652173913044,101,0
0,1,0,0.0,3.94346518960165,0,1,18,1,0,0,5,3,119,1,20,0,0,0,0,0,0,0,0.72,0,0
0,0,0,0.0,3.81092830627929,0,1,22,1,0,0,5,0,0,1,24,0,0,0,0,0,0,0,0.758620689655172,0,0
0,0,0,0.0,3.85730685689813,0,1,22,1,0,0,6,0,0,1,23,0,0,0,0,0,0,0,0.758620689655172,0,0
0,2,0,0.0,4.05656476213096,0,1,23,1,0,0,5,0,215,1,25,0,0,0,0,0,1,0,0.766666666666667,30,0
0,1,0,0.6,3.78494182743764,0,1,14,1,0,0,5,0,197,1,10,0,0,6,0,0,1,0,0.666666666666667,46,0
0,1,0,0.074074074074074,4.10715623092161,0,1,28,1,0,0,6,0,1039,1,27,0,0,2,0,0,1,0,0.8,236,0
0,1,0,0.0,3.96473517872551,0,1,23,1,0,0,6,0,163,1,24,0,0,0,0,0,1,0,0.766666666666667,78,0
0,0,0,0.0,3.85538854220753,0,1,17,1,0,0,5,0,0,1,19,0,0,0,0,0,0,0,0.708333333333333,0,0
0,0,0,0.0,3.99468036840891,0,0,21,0,0,0,5,0,0,1,23,0,0,0,0,0,0,0,0.75,0,0
0,0,0,0.0,3.7081320646586,0,1,16,1,0,0,5,0,0,1,18,0,0,0,0,0,0,0,0.695652173913044,0,0
0,1,0,0.0,4.03230324274395,0,1,20,1,0,0,5,1,258,1,22,0,0,0,0,0,1,0,0.740740740740741,20,0
0,1,0,0.0,4.23909791798879,0,1,29,1,0,0,6,0,315,1,30,0,0,0,0,0,1,0,0.805555555555556,90,0
0,0,0,0.0,3.64679872932298,0,0,24,0,0,0,5,0,0,1,26,0,0,0,0,0,0,0,0.774193548387097,0,0
0,0,0,0.0,3.85323591312729,0,1,23,1,0,0,5,0,0,1,25,0,0,0,0,0,0,0,0.766666666666667,0,0
0,0,0,0.0,3.76396574282408,0,1,20,1,0,0,5,0,0,1,22,0,0,0,0,0,0,0,0.740740740740741,0,0
0,1,0,0.0,3.54643934467102,0,1,13,1,0,0,6,0,17,1,14,0,0,0,0,0,1,0,0.65,0,0
9,1,0,0.0,3.97017552146435,0,1,17,1,0,0,5,0,6,1,19,0,0,0,0,0,0,0,0.708333333333333,2,0
0,0,0,0.0,3.52257158913636,0,1,14,1,0,0,6,0,0,1,15,0,0,0,0,0,0,0,0.666666666666667,0,0
0,1,0,0.0,4.08172767886974,0,1,23,1,0,0,6,0,146,1,24,0,0,0,0,0,1,0,0.766666666666667,14,0
0,1,0,0.0,3.84040254670251,0,1,22,1,0,0,5,0,0,1,24,0,0,0,0,0,0,0,0.758620689655172,10,0
0,1,0,0.153846153846154,3.48418371977919,0,1,13,1,0,0,5,2,29,1,13,0,0,2,0,0,1,0,0.65,0,0
0,0,0,0.0,3.57243125132212,0,0,11,0,0,0,5,0,0,1,13,0,0,0,0,0,0,0,0.611111111111111,0,0
0,1,0,0.0,3.70804815007123,0,1,20,1,0,0,6,0,15,1,21,0,0,0,0,0,0,0,0.740740740740741,20,0
0,1,0,0.0,3.86933126111152,0,1,21,1,0,0,5,0,64,1,23,0,0,0,0,0,1,0,0.75,12,0
0,1,0,0.0,3.7198523585646,0,1,24,1,0,0,5,0,42,1,26,0,0,0,0,0,1,0,0.774193548387097,135,0
0,0,0,0.0,3.81366068968819,0,1,18,1,0,0,5,0,0,1,20,0,0,0,0,0,0,0,0.72,0,0
0,1,0,0.0,3.68872187554087,0,1,17,1,0,0,5,0,64,1,19,0,0,0,0,0,0,0,0.708333333333333,82,0
0,1,0,0.0,4.03230324274395,0,1,20,1,0,0,5,0,282,1,22,0,0,0,0,0,1,0,0.740740740740741,275,0
0,1,0,0.0,3.59446563696145,0,1,14,1,0,0,5,0,78,1,16,0,0,0,0,0,0,0,0.666666666666667,4,0
0,1,0,0.0,3.75326968951511,0,1,18,1,0,0,5,0,253,1,20,0,0,0,0,0,1,0,0.72,94,0
0,0,0,0.0,3.97833358118526,0,1,22,1,0,0,5,0,0,1,24,0,0,0,0,0,1,0,0.758620689655172,0,0
0,1,0,0.0,3.94346518960165,0,1,18,1,0,0,6,0,58,1,19,0,0,0,0,0,1,0,0.72,13,0
0,1,0,0.0,4.08172767886974,0,1,23,1,0,0,5,0,8,1,25,0,0,0,0,0,1,0,0.766666666666667,4,0
31,0,0,0.0,3.7081320646586,0,0,16,0,0,0,5,0,0,1,18,0,0,0,0,0,0,0,0.695652173913044,0,0
0,1,0,0.0,3.64248967316613,0,1,16,1,0,0,6,0,4,1,17,0,0,0,0,0,0,0,0.695652173913044,0,0
0,0,0,0.0,3.44726249944121,0,1,16,1,0,0,5,0,0,1,18,0,0,0,0,0,0,0,0.695652173913044,0,0
0,0,0,0.0,4.13176950127957,0,1,30,1,0,0,6,0,0,1,31,0,0,0,0,0,0,0,0.810810810810811,0,0
0,1,0,0.0,4.07781953111478,0,1,25,1,0,0,7,0,71,1,25,0,0,0,0,0,0,0,0.78125,1,0
0,1,0,0.0,3.5013978254341,0,1,16,1,0,0,5,0,342,1,18,0,0,0,0,0,1,0,0.695652173913044,24,0
0,1,0,0.0,4.20896608269462,0,1,21,1,0,0,5,0,43,1,23,0,0,0,0,0,1,0,0.75,20,0
0,1,0,0.0,3.92102962173762,0,1,19,1,0,0,6,0,61,1,20,0,0,0,0,0,1,0,0.730769230769231,124,0
0,1,0,0.0,3.88684218813101,0,1,17,1,0,0,5,0,21,1,19,0,0,0,0,0,0,0,0.708333333333333,1,0
0,0,0,0.125,3.84922391239062,0,0,16,0,0,0,5,0,0,1,16,0,0,2,0,0,0,0,0.695652173913044,0,0
0,0,0,0.0,3.30869496956284,0,1,13,1,0,0,5,0,0,1,15,0,0,0,0,0,0,0,0.65,0,0
0,0,0,0.0,4.03233628298778,0,0,27,0,0,0,6,0,0,1,28,0,0,0,0,0,0,0,0.794117647058824,0,0
0,1,0,0.0,3.6818808028034,0,1,12,1,0,0,5,0,193,1,14,0,0,0,0,0,0,0,0.631578947368421,57,0
0,1,0,0.0,3.93775195540859,0,1,24,1,0,0,5,0,6,1,26,0,0,0,0,0,0,0,0.774193548387097,21,0
0,1,0,0.0,3.57393489628406,0,1,17,1,0,0,5,0,110,1,19,0,0,0,0,0,1,0,0.708333333333333,5,0
0,1,0,0.0,3.8841550945958,0,1,20,1,0,0,5,0,10,1,22,0,0,0,0,0,1,0,0.740740740740741,8,0
0,1,0,0.117647058823529,3.7720552088742,0,1,17,1,0,0,5,0,0,1,17,0,0,2,0,0,0,0,0.708333333333333,0,0
9,1,0,0.0,3.58835434717323,0,1,16,1,0,0,5,0,38,1,18,0,0,0,0,0,0,0,0.695652173913044,10,0
0,1,0,0.0,4.03063906222957,0,1,25,1,0,0,5,0,37,1,27,0,0,0,0,0,1,0,0.78125,10,0
0,1,0,0.0,3.72944619490526,0,1,16,1,0,0,5,0,128,1,18,0,0,0,0,0,1,0,0.695652173913044,18,0
0,0,0,0.0,3.63684218813101,0,1,17,1,0,0,5,0,0,1,19,0,0,0,0,0,0,0,0.708333333333333,0,0
0,0,0,0.0,3.98656924646063,0,1,23,1,0,0,6,0,182,1,24,0,0,0,0,0,1,0,0.766666666666667,88,0
0,0,0,0.0,3.84040254670251,0,1,22,1,0,0,6,0,0,1,23,0,0,0,0,0,0,0,0.758620689655172,0,0
0,1,0,0.0,3.84040254670251,0,1,22,1,0,0,5,1,30,1,24,0,0,0,0,0,1,0,0.758620689655172,25,0
0,1,0,0.0,4.04243300372589,0,1,24,1,0,0,5,0,54,1,26,0,0,0,0,0,1,0,0.774193548387097,47,0
0,1,0,0.0,3.88684218813101,0,1,17,1,0,0,5,0,1,1,19,0,0,0,0,0,0,0,0.708333333333333,0,0
0,1,0,0.0,3.78418371977919,0,1,13,1,0,0,5,0,213,1,15,0,0,0,0,0,1,0,0.65,20,0
0,1,0,0.0,3.88204510813686,0,1,16,1,0,0,5,0,113,1,18,0,0,0,0,0,1,0,0.695652173913044,38,0
0,0,0,0.0,3.58418371977919,0,1,13,1,0,0,5,0,0,1,15,0,0,0,0,0,0,0,0.65,0,0
0,1,0,0.0,3.57661764490867,0,1,12,1,0,0,5,0,306,1,14,0,0,0,0,0,1,0,0.631578947368421,5,0
0,1,0,0.0,3.51602764126623,0,1,15,1,0,0,5,0,38,1,17,0,0,0,0,0,1,0,0.681818181818182,41,0
0,1,0,0.0,3.68872187554087,0,1,17,1,0,0,6,1,0,1,18,0,0,0,0,0,1,0,0.708333333333333,17,0
9,1,0,0.0,3.92325179698034,0,1,21,1,0,0,5,0,150,1,23,0,0,0,0,0,0,0,0.75,54,0
0,0,0,0.0,4.25343438618878,0,1,21,1,0,0,5,0,0,1,23,0,0,0,0,0,0,0,0.75,0,0
0,1,0,0.0,4.13130034250536,0,1,24,1,0,0,6,0,57,1,25,0,0,0,0,0,0,0,0.774193548387097,0,0
0,1,0,0.0,3.66353275480426,0,1,15,1,0,0,5,0,0,1,17,0,0,0,0,0,0,0,0.681818181818182,3,0
0,0,0,0.0,4.06667707370723,0,1,26,1,0,0,5,0,0,1,28,0,0,0,0,0,0,0,0.787878787878788,0,0
0,1,0,0.0,3.78656924646063,0,1,23,1,0,0,5,0,31,1,25,0,0,0,0,0,1,0,0.766666666666667,19,0
0,0,0,0.0,3.46423465272657,0,1,16,1,0,0,5,0,0,1,18,0,0,0,0,0,0,0,0.695652173913044,0,0
0,1,0,0.0714285714285714,4.21812882070647,0,1,29,1,0,0,6,0,7,1,28,0,0,2,0,0,1,0,0.805555555555556,3,0
