Query length,ASN updation date,Levenshtein Distance,Google Search Feature,Numeric Character,Is domain suspicious,Dash,Semicolon,Equals,Is www present,Sensitive Words,Https in URL,Special Characters,Dots,Domain Age in Days,English Letters,Exec() Function,Host name length,Label
0,1,0,0,2,1481,0,0,0,1,161,1,7,3,3681,36,0,21,0
0,1,0,0,0,0,0,0,0,1,0,1,13,3,0,52,0,20,0
0,1,0,0,7,0,5,0,0,1,0,1,14,3,3259,61,0,15,0
0,1,0,0,0,46,13,0,0,1,13,1,20,2,3259,85,0,16,0
0,1,0,0,0,0,0,0,0,1,0,1,14,3,0,59,0,20,0
0,1,0,0,1,0,0,0,0,1,0,1,6,2,3842,24,0,22,0
0,1,0,0,0,54,0,0,0,1,4,1,11,3,5849,55,0,18,0
35,1,0,0,9,43,0,0,3,1,10,1,14,3,2043,64,0,21,0
13,1,0,0,0,3,0,0,1,1,1,1,8,2,4266,35,0,15,0
0,1,0,0,0,0,2,0,0,1,0,1,9,3,3579,51,0,23,0
0,1,9,10,0,0,0,0,0,1,0,1,7,2,1710,41,0,24,0
0,1,0,0,0,95,0,0,0,1,0,1,9,3,8651,37,0,17,0
0,1,0,0,4,0,0,0,0,1,0,1,15,3,3593,72,0,21,0
0,1,10,0,4,0,6,0,0,1,0,1,13,3,3883,64,0,17,0
0,1,0,0,4,73,7,0,0,1,13,1,17,3,1066,75,0,11,0
0,1,0,0,0,0,0,0,0,1,0,1,6,2,9288,36,0,14,0
0,1,0,0,0,280,0,0,0,1,16,1,11,4,12303,50,0,16,0
0,1,0,0,0,0,1,0,0,1,0,1,10,4,0,42,0,23,0
0,1,0,0,0,91,0,0,0,1,0,1,6,2,11728,16,0,13,0
13,1,0,0,3,3,0,0,1,1,1,1,8,2,4266,32,0,15,0
0,1,0,0,2,79,2,0,0,1,19,1,11,3,3259,48,2,30,0
0,1,0,0,8,0,0,0,0,1,0,1,8,2,1655,36,0,15,0
0,1,0,0,0,27,0,0,0,1,3,1,6,2,1948,26,0,23,0
0,1,0,0,0,0,0,0,0,1,0,1,9,2,3259,54,0,17,0
0,1,0,0,4,54,0,0,0,1,4,1,7,3,2694,26,0,19,0
0,1,0,0,1,0,0,0,0,1,0,1,15,3,1095,58,0,15,0
8,1,0,0,6,0,0,0,1,1,0,1,11,4,1580,40,0,19,0
0,1,0,0,7,0,0,0,0,1,0,1,16,3,1948,70,0,14,0
0,1,0,0,0,0,1,0,0,1,0,1,8,3,2259,24,0,16,0
0,1,0,0,4,0,0,0,0,1,0,1,10,3,0,45,0,25,0
10,1,0,0,0,0,4,0,1,1,0,1,15,2,11728,67,0,15,0
88,1,0,0,23,3,6,0,5,1,1,1,25,2,1095,103,0,34,0
